region	chr	midPos	Nsites
(122,122)(31183468,31183468)(31183468,31183469)	3_Celeg_TT	31183468	2	0.034459
(123,123)(31183469,31183469)(31183469,31183470)	3_Celeg_TT	31183469	2	0.034474
(124,124)(31183470,31183470)(31183470,31183471)	3_Celeg_TT	31183470	2	0.032638
(125,125)(31183471,31183471)(31183471,31183472)	3_Celeg_TT	31183471	2	0.034308
(126,126)(31183472,31183472)(31183472,31183473)	3_Celeg_TT	31183472	2	0.033874
(127,127)(31183473,31183473)(31183473,31183474)	3_Celeg_TT	31183473	2	0.028062
(128,128)(31183474,31183474)(31183474,31183475)	3_Celeg_TT	31183474	2	0.028877
(129,129)(31183475,31183475)(31183475,31183476)	3_Celeg_TT	31183475	2	0.028653
(130,130)(31183476,31183476)(31183476,31183477)	3_Celeg_TT	31183476	2	0.027700
(131,131)(31183477,31183477)(31183477,31183478)	3_Celeg_TT	31183477	2	0.028126
(132,132)(31183478,31183478)(31183478,31183479)	3_Celeg_TT	31183478	2	0.026478
(133,133)(31183479,31183479)(31183479,31183480)	3_Celeg_TT	31183479	2	0.026519
(134,134)(31183480,31183480)(31183480,31183481)	3_Celeg_TT	31183480	2	0.026068
(135,135)(31183481,31183481)(31183481,31183482)	3_Celeg_TT	31183481	2	0.026531
(136,136)(31183482,31183482)(31183482,31183483)	3_Celeg_TT	31183482	2	0.027496
(137,137)(31183483,31183483)(31183483,31183484)	3_Celeg_TT	31183483	2	0.025996
(138,138)(31183484,31183484)(31183484,31183485)	3_Celeg_TT	31183484	2	0.025984
(139,139)(31183485,31183485)(31183485,31183486)	3_Celeg_TT	31183485	2	0.026176
(140,140)(31183486,31183486)(31183486,31183487)	3_Celeg_TT	31183486	2	0.029091
(141,141)(31183487,31183487)(31183487,31183488)	3_Celeg_TT	31183487	2	0.031075
(142,142)(31183488,31183488)(31183488,31183489)	3_Celeg_TT	31183488	2	0.028362
(143,143)(31183489,31183489)(31183489,31183490)	3_Celeg_TT	31183489	2	0.026877
(144,144)(31183490,31183490)(31183490,31183491)	3_Celeg_TT	31183490	2	0.026970
(145,145)(31183491,31183491)(31183491,31183492)	3_Celeg_TT	31183491	2	0.027921
(146,146)(31183492,31183492)(31183492,31183493)	3_Celeg_TT	31183492	2	0.028347
(147,147)(31183493,31183493)(31183493,31183494)	3_Celeg_TT	31183493	2	0.028207
(148,148)(31183494,31183494)(31183494,31183495)	3_Celeg_TT	31183494	2	0.028111
(149,149)(31183495,31183495)(31183495,31183496)	3_Celeg_TT	31183495	2	0.028455
(150,150)(31183496,31183496)(31183496,31183497)	3_Celeg_TT	31183496	2	0.028560
(151,151)(31183497,31183497)(31183497,31183498)	3_Celeg_TT	31183497	2	0.028777
(152,152)(31183498,31183498)(31183498,31183499)	3_Celeg_TT	31183498	2	0.027642
(153,153)(31183499,31183499)(31183499,31183500)	3_Celeg_TT	31183499	2	0.026235
(154,154)(31183500,31183500)(31183500,31183501)	3_Celeg_TT	31183500	2	0.027631
(155,155)(31183501,31183501)(31183501,31183502)	3_Celeg_TT	31183501	2	0.028154
(156,156)(31183502,31183502)(31183502,31183503)	3_Celeg_TT	31183502	2	0.028100
(157,157)(31183503,31183503)(31183503,31183504)	3_Celeg_TT	31183503	2	0.027616
(158,158)(31183504,31183504)(31183504,31183505)	3_Celeg_TT	31183504	2	0.028019
(159,159)(31183505,31183505)(31183505,31183506)	3_Celeg_TT	31183505	2	0.028362
(160,160)(31183506,31183506)(31183506,31183507)	3_Celeg_TT	31183506	2	0.028187
(161,161)(31183507,31183507)(31183507,31183508)	3_Celeg_TT	31183507	2	0.026789
(162,162)(31183508,31183508)(31183508,31183509)	3_Celeg_TT	31183508	2	0.029710
(163,163)(31183509,31183509)(31183509,31183510)	3_Celeg_TT	31183509	2	0.029308
(164,164)(31183510,31183510)(31183510,31183511)	3_Celeg_TT	31183510	2	0.031613
(165,165)(31183511,31183511)(31183511,31183512)	3_Celeg_TT	31183511	2	0.030598
(166,166)(31183512,31183512)(31183512,31183513)	3_Celeg_TT	31183512	2	0.031184
(167,167)(31183513,31183513)(31183513,31183514)	3_Celeg_TT	31183513	2	0.032790
(168,168)(31183514,31183514)(31183514,31183515)	3_Celeg_TT	31183514	2	0.030277
(169,169)(31183515,31183515)(31183515,31183516)	3_Celeg_TT	31183515	2	0.028336
(170,170)(31183516,31183516)(31183516,31183517)	3_Celeg_TT	31183516	2	0.028449
(171,171)(31183517,31183517)(31183517,31183518)	3_Celeg_TT	31183517	2	0.028202
(172,172)(31183518,31183518)(31183518,31183519)	3_Celeg_TT	31183518	2	0.028179
(173,173)(31183519,31183519)(31183519,31183520)	3_Celeg_TT	31183519	2	0.027963
(174,174)(31183520,31183520)(31183520,31183521)	3_Celeg_TT	31183520	2	0.027071
(175,175)(31183521,31183521)(31183521,31183522)	3_Celeg_TT	31183521	2	0.028734
(176,176)(31183522,31183522)(31183522,31183523)	3_Celeg_TT	31183522	2	0.027268
(177,177)(31183523,31183523)(31183523,31183524)	3_Celeg_TT	31183523	2	0.052528
(178,178)(31183524,31183524)(31183524,31183525)	3_Celeg_TT	31183524	2	0.027598
(179,179)(31183525,31183525)(31183525,31183526)	3_Celeg_TT	31183525	2	0.027599
(180,180)(31183526,31183526)(31183526,31183527)	3_Celeg_TT	31183526	2	0.027326
(181,181)(31183527,31183527)(31183527,31183528)	3_Celeg_TT	31183527	2	0.027878
(182,182)(31183528,31183528)(31183528,31183529)	3_Celeg_TT	31183528	2	0.029083
(183,183)(31183529,31183529)(31183529,31183530)	3_Celeg_TT	31183529	2	0.024441
(184,184)(31183530,31183530)(31183530,31183531)	3_Celeg_TT	31183530	2	0.027885
(185,185)(31183531,31183531)(31183531,31183532)	3_Celeg_TT	31183531	2	0.027700
(186,186)(31183532,31183532)(31183532,31183533)	3_Celeg_TT	31183532	2	0.027976
(187,187)(31183533,31183533)(31183533,31183534)	3_Celeg_TT	31183533	2	0.031659
(188,188)(31183534,31183534)(31183534,31183535)	3_Celeg_TT	31183534	2	0.027922
(189,189)(31183535,31183535)(31183535,31183536)	3_Celeg_TT	31183535	2	0.027395
(190,190)(31183536,31183536)(31183536,31183537)	3_Celeg_TT	31183536	2	0.027341
(191,191)(31183537,31183537)(31183537,31183538)	3_Celeg_TT	31183537	2	0.027916
(192,192)(31183538,31183538)(31183538,31183539)	3_Celeg_TT	31183538	2	0.027613
(193,193)(31183539,31183539)(31183539,31183540)	3_Celeg_TT	31183539	2	0.027383
(194,194)(31183540,31183540)(31183540,31183541)	3_Celeg_TT	31183540	2	0.027903
(195,195)(31183541,31183541)(31183541,31183542)	3_Celeg_TT	31183541	2	0.027628
(196,196)(31183542,31183542)(31183542,31183543)	3_Celeg_TT	31183542	2	0.027924
(197,197)(31183543,31183543)(31183543,31183544)	3_Celeg_TT	31183543	2	0.028711
(198,198)(31183544,31183544)(31183544,31183545)	3_Celeg_TT	31183544	2	0.029450
(199,199)(31183545,31183545)(31183545,31183546)	3_Celeg_TT	31183545	2	0.031115
(200,200)(31183546,31183546)(31183546,31183547)	3_Celeg_TT	31183546	2	0.024138
(201,201)(31183547,31183547)(31183547,31183548)	3_Celeg_TT	31183547	2	0.024495
(202,202)(31183548,31183548)(31183548,31183549)	3_Celeg_TT	31183548	2	0.024009
(203,203)(31183549,31183549)(31183549,31183550)	3_Celeg_TT	31183549	2	0.021473
(204,204)(31183550,31183550)(31183550,31183551)	3_Celeg_TT	31183550	2	0.018421
(205,205)(31183551,31183551)(31183551,31183552)	3_Celeg_TT	31183551	2	0.018403
(206,206)(31183552,31183552)(31183552,31183553)	3_Celeg_TT	31183552	2	0.019927
(207,207)(31183553,31183553)(31183553,31183554)	3_Celeg_TT	31183553	2	0.020644
(208,208)(31183554,31183554)(31183554,31183555)	3_Celeg_TT	31183554	2	0.018420
(209,209)(31183555,31183555)(31183555,31183556)	3_Celeg_TT	31183555	2	0.018427
(210,210)(31183556,31183556)(31183556,31183557)	3_Celeg_TT	31183556	2	0.018436
(211,211)(31183557,31183557)(31183557,31183558)	3_Celeg_TT	31183557	2	0.018486
(212,212)(31183558,31183558)(31183558,31183559)	3_Celeg_TT	31183558	2	0.018593
(213,213)(31183559,31183559)(31183559,31183560)	3_Celeg_TT	31183559	2	0.018424
(214,214)(31183560,31183560)(31183560,31183561)	3_Celeg_TT	31183560	2	0.018442
(215,215)(31183561,31183561)(31183561,31183562)	3_Celeg_TT	31183561	2	0.018538
(216,216)(31183562,31183562)(31183562,31183563)	3_Celeg_TT	31183562	2	0.018503
(217,217)(31183563,31183563)(31183563,31183564)	3_Celeg_TT	31183563	2	0.018768
(218,218)(31183564,31183564)(31183564,31183565)	3_Celeg_TT	31183564	2	0.018321
(219,219)(31183565,31183565)(31183565,31183566)	3_Celeg_TT	31183565	2	0.025298
(220,220)(31183566,31183566)(31183566,31183567)	3_Celeg_TT	31183566	2	0.024023
(221,221)(31183567,31183567)(31183567,31183568)	3_Celeg_TT	31183567	2	0.024070
(222,222)(31183568,31183568)(31183568,31183569)	3_Celeg_TT	31183568	2	0.023973
(223,223)(31183569,31183569)(31183569,31183570)	3_Celeg_TT	31183569	2	0.025216
(224,224)(31183570,31183570)(31183570,31183571)	3_Celeg_TT	31183570	2	0.024112
(225,225)(31183571,31183571)(31183571,31183572)	3_Celeg_TT	31183571	2	0.026210
(226,226)(31183572,31183572)(31183572,31183573)	3_Celeg_TT	31183572	2	0.018427
(227,227)(31183573,31183573)(31183573,31183574)	3_Celeg_TT	31183573	2	0.018444
(228,228)(31183574,31183574)(31183574,31183575)	3_Celeg_TT	31183574	2	0.018431
(229,229)(31183575,31183575)(31183575,31183576)	3_Celeg_TT	31183575	2	0.018763
(230,230)(31183576,31183576)(31183576,31183577)	3_Celeg_TT	31183576	2	0.018123
(231,231)(31183577,31183577)(31183577,31183578)	3_Celeg_TT	31183577	2	0.018440
(232,232)(31183578,31183578)(31183578,31183579)	3_Celeg_TT	31183578	2	0.019739
(233,233)(31183579,31183579)(31183579,31183580)	3_Celeg_TT	31183579	2	0.018620
(234,234)(31183580,31183580)(31183580,31183581)	3_Celeg_TT	31183580	2	0.018438
(235,235)(31183581,31183581)(31183581,31183582)	3_Celeg_TT	31183581	2	0.018433
(236,236)(31183582,31183582)(31183582,31183583)	3_Celeg_TT	31183582	2	0.018347
(237,237)(31183583,31183583)(31183583,31183584)	3_Celeg_TT	31183583	2	0.017830
(238,238)(31183584,31183584)(31183584,31183585)	3_Celeg_TT	31183584	2	0.018124
(239,239)(31183585,31183585)(31183585,31183586)	3_Celeg_TT	31183585	2	0.018913
(240,240)(31183586,31183586)(31183586,31183587)	3_Celeg_TT	31183586	2	0.017549
(241,241)(31183587,31183587)(31183587,31183588)	3_Celeg_TT	31183587	2	0.017539
(242,242)(31183588,31183588)(31183588,31183589)	3_Celeg_TT	31183588	2	0.018216
(243,243)(31183589,31183589)(31183589,31183590)	3_Celeg_TT	31183589	2	0.017896
(244,244)(31183590,31183590)(31183590,31183591)	3_Celeg_TT	31183590	2	0.018441
(245,245)(31183591,31183591)(31183591,31183592)	3_Celeg_TT	31183591	2	0.018336
(246,246)(31183592,31183592)(31183592,31183593)	3_Celeg_TT	31183592	2	0.020912
(247,247)(31183593,31183593)(31183593,31183594)	3_Celeg_TT	31183593	2	0.018923
(248,248)(31183594,31183594)(31183594,31183595)	3_Celeg_TT	31183594	2	0.019030
(249,249)(31183595,31183595)(31183595,31183596)	3_Celeg_TT	31183595	2	0.018671
(250,250)(31183596,31183596)(31183596,31183597)	3_Celeg_TT	31183596	2	0.018336
(251,251)(31183597,31183597)(31183597,31183598)	3_Celeg_TT	31183597	2	0.017900
(252,252)(31183598,31183598)(31183598,31183599)	3_Celeg_TT	31183598	2	0.017899
(253,253)(31183599,31183599)(31183599,31183600)	3_Celeg_TT	31183599	2	0.017897
(254,254)(31183600,31183600)(31183600,31183601)	3_Celeg_TT	31183600	2	0.017925
(255,255)(31183601,31183601)(31183601,31183602)	3_Celeg_TT	31183601	2	0.017954
(256,256)(31183602,31183602)(31183602,31183603)	3_Celeg_TT	31183602	2	0.017923
(257,257)(31183603,31183603)(31183603,31183604)	3_Celeg_TT	31183603	2	0.018930
(258,258)(31183604,31183604)(31183604,31183605)	3_Celeg_TT	31183604	2	0.018275
(259,259)(31183605,31183605)(31183605,31183606)	3_Celeg_TT	31183605	2	0.017651
(260,260)(31183606,31183606)(31183606,31183607)	3_Celeg_TT	31183606	2	0.017745
(261,261)(31183607,31183607)(31183607,31183608)	3_Celeg_TT	31183607	2	0.017190
(262,262)(31183610,31183610)(31183610,31183611)	3_Celeg_TT	31183610	2	0.017623
(263,263)(31183611,31183611)(31183611,31183612)	3_Celeg_TT	31183611	2	0.018243
(264,264)(31183612,31183612)(31183612,31183613)	3_Celeg_TT	31183612	2	0.017186
(265,265)(31183613,31183613)(31183613,31183614)	3_Celeg_TT	31183613	2	0.017617
(266,266)(31183614,31183614)(31183614,31183615)	3_Celeg_TT	31183614	2	0.017679
(267,267)(31183615,31183615)(31183615,31183616)	3_Celeg_TT	31183615	2	0.018114
(268,268)(31183616,31183616)(31183616,31183617)	3_Celeg_TT	31183616	2	0.018122
(269,269)(31183617,31183617)(31183617,31183618)	3_Celeg_TT	31183617	2	0.017751
(270,270)(31183618,31183618)(31183618,31183619)	3_Celeg_TT	31183618	2	0.017557
(271,271)(31183619,31183619)(31183619,31183620)	3_Celeg_TT	31183619	2	0.018278
(272,272)(31183620,31183620)(31183620,31183621)	3_Celeg_TT	31183620	2	0.018008
(273,273)(31183621,31183621)(31183621,31183622)	3_Celeg_TT	31183621	2	0.018042
(274,274)(31183622,31183622)(31183622,31183623)	3_Celeg_TT	31183622	2	0.017969
(275,275)(31183623,31183623)(31183623,31183624)	3_Celeg_TT	31183623	2	0.018566
(276,276)(31183624,31183624)(31183624,31183625)	3_Celeg_TT	31183624	2	0.018287
(277,277)(31183625,31183625)(31183625,31183626)	3_Celeg_TT	31183625	2	0.019998
(278,278)(31183626,31183626)(31183626,31183627)	3_Celeg_TT	31183626	2	0.018749
(279,279)(31183627,31183627)(31183627,31183628)	3_Celeg_TT	31183627	2	0.019544
(280,280)(31183628,31183628)(31183628,31183629)	3_Celeg_TT	31183628	2	0.018990
(281,281)(31183629,31183629)(31183629,31183630)	3_Celeg_TT	31183629	2	0.019859
(282,282)(31183630,31183630)(31183630,31183631)	3_Celeg_TT	31183630	2	0.018525
(283,283)(31183631,31183631)(31183631,31183632)	3_Celeg_TT	31183631	2	0.018777
(284,284)(31183632,31183632)(31183632,31183633)	3_Celeg_TT	31183632	2	0.018620
(285,285)(31183633,31183633)(31183633,31183634)	3_Celeg_TT	31183633	2	0.018470
(286,286)(31183634,31183634)(31183634,31183635)	3_Celeg_TT	31183634	2	0.018442
(287,287)(31183635,31183635)(31183635,31183636)	3_Celeg_TT	31183635	2	0.018441
(288,288)(31183636,31183636)(31183636,31183637)	3_Celeg_TT	31183636	2	0.019026
(289,289)(31183637,31183637)(31183637,31183638)	3_Celeg_TT	31183637	2	0.019032
(290,290)(31183638,31183638)(31183638,31183639)	3_Celeg_TT	31183638	2	0.018678
(291,291)(31183639,31183639)(31183639,31183640)	3_Celeg_TT	31183639	2	0.019064
(292,292)(31183640,31183640)(31183640,31183641)	3_Celeg_TT	31183640	2	0.019050
(293,293)(31183641,31183641)(31183641,31183642)	3_Celeg_TT	31183641	2	0.018987
(294,294)(31183642,31183642)(31183642,31183643)	3_Celeg_TT	31183642	2	0.019706
(295,295)(31183643,31183643)(31183643,31183644)	3_Celeg_TT	31183643	2	0.019687
(296,296)(31183644,31183644)(31183644,31183645)	3_Celeg_TT	31183644	2	0.018934
(297,297)(31183645,31183645)(31183645,31183646)	3_Celeg_TT	31183645	2	0.018833
(298,298)(31183646,31183646)(31183646,31183647)	3_Celeg_TT	31183646	2	0.018858
(299,299)(31183647,31183647)(31183647,31183648)	3_Celeg_TT	31183647	2	0.018842
(300,300)(31183648,31183648)(31183648,31183649)	3_Celeg_TT	31183648	2	0.018919
(301,301)(31183649,31183649)(31183649,31183650)	3_Celeg_TT	31183649	2	0.018935
(302,302)(31183650,31183650)(31183650,31183651)	3_Celeg_TT	31183650	2	0.019777
(303,303)(31183651,31183651)(31183651,31183652)	3_Celeg_TT	31183651	2	0.019585
(304,304)(31183652,31183652)(31183652,31183653)	3_Celeg_TT	31183652	2	0.019428
(305,305)(31183653,31183653)(31183653,31183654)	3_Celeg_TT	31183653	2	0.019220
(306,306)(31183654,31183654)(31183654,31183655)	3_Celeg_TT	31183654	2	0.021153
(307,307)(31183655,31183655)(31183655,31183656)	3_Celeg_TT	31183655	2	0.020460
(308,308)(31183656,31183656)(31183656,31183657)	3_Celeg_TT	31183656	2	0.020847
(309,309)(31183657,31183657)(31183657,31183658)	3_Celeg_TT	31183657	2	0.020629
(310,310)(31183658,31183658)(31183658,31183659)	3_Celeg_TT	31183658	2	0.021620
